formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
 BiH   ,  194,      250, 0.76   ,    699.17 , 0.10,   29.40   ,  https://arxiv.org/abs/1511.05291
 BiH   ,  194,      250, 0.76   ,    699.17 , 0.13,   23.32   ,  https://arxiv.org/abs/1511.05291
 BiH   ,  194,      300, 0.61   ,    792.43 , 0.10,   19.04   ,  https://arxiv.org/abs/1511.05291
 BiH   ,  194,      300, 0.61   ,    792.43 , 0.13,   13.55   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      150, 1.34   ,    506.80 , 0.10,   51.54   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      150, 1.34   ,    506.80 , 0.13,   46.41   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      200, 1.07   ,    706.70 , 0.10,   54.38   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      200, 1.07   ,    706.70 , 0.13,   47.31   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      250, 0.99   ,    841.53 , 0.10,   57.70   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      250, 0.99   ,    841.53 , 0.13,   49.42   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      300, 0.96   ,    917.48 , 0.10,   59.91   ,  https://arxiv.org/abs/1511.05291
 BiH2  ,   11,      300, 0.96   ,    917.48 , 0.13,   50.95   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      150, 1.27   ,    864.72 , 0.10,   82.82   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      150, 1.27   ,    864.72 , 0.13,   74.06   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      200, 1.10   ,   1008.85 , 0.10,   80.67   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      200, 1.10   ,   1008.85 , 0.13,   70.54   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      250, 0.97   ,   1101.09 , 0.10,   73.11   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      250, 0.97   ,   1101.09 , 0.13,   62.33   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      300, 0.92   ,   1150.38 , 0.10,   69.99   ,  https://arxiv.org/abs/1511.05291
 BiH4  ,   58,      300, 0.92   ,   1150.38 , 0.13,   58.92   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      200, 1.23   ,   1021.90 , 0.10,   94.27   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      200, 1.23   ,   1021.90 , 0.13,   83.92   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      250, 1.45   ,    801.68 , 0.10,   88.44   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      250, 1.45   ,    801.68 , 0.13,   80.36   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      300, 1.20   ,   1220.96 , 0.10,  109.31   ,  https://arxiv.org/abs/1511.05291
 BiH5  ,   12,      300, 1.20   ,   1220.96 , 0.13,   96.96   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      200, 1.26   ,    934.62 , 0.10,   88.73   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      200, 1.26   ,    934.62 , 0.13,   79.24   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      250, 1.24   ,   1035.33 , 0.10,   96.43   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      250, 1.24   ,   1035.33 , 0.13,   85.95   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      300, 1.23   ,   1102.82 , 0.10,  101.74   ,  https://arxiv.org/abs/1511.05291
 BiH6  ,    2,      300, 1.23   ,   1102.82 , 0.13,   90.57   ,  https://arxiv.org/abs/1511.05291
 BeH2  ,   63,      250, 0.63   ,   1729    , 0.12,   38      ,  https://doi.org/10.1063/1.4869145
 BeH2  ,   63,      300,        ,           , 0.12,   41      ,  https://doi.org/10.1063/1.4869145
 MgH2  ,  194,      180, 0.58   ,   1111    , 0.13,   16      ,  https://doi.org/10.1103/PhysRevB.87.054107       
 MgH2  ,  194,      180, 0.58   ,   1111    , 0.10,   23      ,  https://doi.org/10.1103/PhysRevB.87.054107
 MgH4  ,   63,      100, 0.74   ,    941    , 0.13,   29      ,  https://doi.org/10.1103/PhysRevB.87.054107
 MgH4  ,   63,      100, 0.74   ,    941    , 0.10,   37      ,  https://doi.org/10.1103/PhysRevB.87.054107
 MgH12 ,  146,      140, 0.73   ,   1554    , 0.13,   47      ,  https://doi.org/10.1103/PhysRevB.87.054107
 MgH12 ,  146,      140, 0.73   ,   1554    , 0.10,   60      ,  https://doi.org/10.1103/PhysRevB.87.054107
 BaH6  ,  123,      100, 0.77   ,    878    , 0.13,   30      ,  https://doi.org/10.1021/jp311571n
 BaH6  ,  123,      100, 0.77   ,    878    , 0.10,   38      ,  https://doi.org/10.1021/jp311571n
 BaH2  ,  164,       60, 0.22   ,    780    , 0.10,    0.004  ,  https://doi.org/10.1021/10.1016/j.ssc.2009.07.044     
 BaH2  ,  164,       60, 0.22   ,    780    , 0.12,    0.0002 ,  https://doi.org/10.1021/10.1016/j.ssc.2009.07.044
 AsH   ,   63,      300, 0.59   ,    995    , 0.10,   21.2    ,  https://doi.org/10.1021/acs.chemmater.5b04638     
 AsH   ,   63,      400, 0.55   ,   1166    , 0.10,   20.2    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 AsH8  ,   15,      350, 1.50   ,   1240    , 0.10,  141.0    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 AsH8  ,   15,      400, 1.63   ,   1169    , 0.10,  143.9    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 AsH8  ,   15,      450, 1.77   ,   1153    , 0.10,  151.4    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH   ,   62,      175, 0.57   ,    736    , 0.10,   14.6    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH   ,   62,      215, 0.51   ,    820    , 0.10,   10.5    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH   ,   62,      255, 0.47   ,    877    , 0.10,    8.5    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH   ,   62,      295, 0.45   ,    890    , 0.10,    6.8    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH3  ,   59,      300, 0.61   ,   1100    , 0.10,   25.9    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH3  ,   59,      400, 0.56   ,   1112    , 0.10,   19.8    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH4  ,  194,      150, 1.28   ,   1054    , 0.10,  102.2    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH4  ,  194,      200, 1.21   ,   1133    , 0.10,  102.3    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH4  ,  194,      250, 1.18   ,   1145    , 0.10,   99.9    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 SbH4  ,  194,      300, 1.16   ,   1090    , 0.10,   93.9    ,  https://doi.org/10.1021/acs.chemmater.5b04638
 H2I   ,   63,      100, 0.51   ,    608.7  , 0.10,    7.8    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 H2I   ,   63,      100, 0.51   ,    608.7  , 0.13,    4.8    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 H4I   ,  191,      100, 0.58   ,    854.3  , 0.10,   17.5    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 H4I   ,  191,      100, 0.58   ,    854.3  , 0.13,   12.0    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 H4I   ,  191,      150, 0.56   ,   1097.4  , 0.10,   20.4    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 H4I   ,  191,      150, 0.56   ,   1097.4  , 0.13,   13.7    ,  https://doi.org/10.1021/acs.jpclett.5b01839
 GeH4  ,   12,      280, 0.895  ,   1162    , 0.10,   67      ,  https://doi.org/10.1103/PhysRevB.95.134506
 GeH4  ,   12,      280, 0.895  ,   1162    , 0.13,   56      ,  https://doi.org/10.1103/PhysRevB.95.134506
 GeH4  ,   12,      300, 0.867  ,   1154    , 0.10,   63      ,  https://doi.org/10.1103/PhysRevB.95.134506
 GeH4  ,   12,      300, 0.867  ,   1154    , 0.13,   52      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      285, 0.721  ,   1155    , 0.10,   43      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      285, 0.721  ,   1155    , 0.13,   34      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      300, 0.690  ,   1140    , 0.10,   38      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      300, 0.690  ,   1140    , 0.13,   29      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      320, 0.668  ,   1127    , 0.10,   35      ,  https://doi.org/10.1103/PhysRevB.95.134506
 Ge3H11,  119,      320, 0.668  ,   1127    , 0.13,   26      ,  https://doi.org/10.1103/PhysRevB.95.134506
 GeH4  ,   40,      250, 0.88   ,   1011    , 0.13,   47      ,  https://doi.org/10.1039/C5CP03807C
 GeH4  ,   40,      250, 0.88   ,   1011    , 0.10,   57      ,  https://doi.org/10.1039/C5CP03807C
 GeH4  ,   15,      500, 0.92   ,   1374    , 0.13,   70      ,  https://doi.org/10.1039/C5CP03807C
 GeH4  ,   15,      500, 0.92   ,   1374    , 0.10,   84      ,  https://doi.org/10.1039/C5CP03807C 
 N4H   ,   36,       55,        ,           , 0.13,    2.6    ,  https://doi.org/10.3847/1538-4357/834/1/29
 N2H   ,   14,       60,        ,           , 0.13,    7.8    ,  https://doi.org/10.3847/1538-4357/834/1/29
 FeH5  ,  139,      130, 1.40   ,    614    , 0.10,   51      ,  https://doi.org/10.1103/PhysRevB.96.201107
 FeH5  ,  139,      200, 1.10   ,    600    , 0.10,   48      ,  https://doi.org/10.1103/PhysRevB.96.201107
 CoH   ,  225,        5, 0.28   ,    361.8  , 0.10,    0.11   ,  https://doi.org/10.1021/acs.inorgchem.7b02371
 SeH6  ,   51,      150,    0.84,     762.78, 0.10,         39,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   51,      200,    0.73,     724.34, 0.10,         28,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   51,      300,    0.62,    1039.82, 0.10,         26,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   51,      150,    0.84,     762.78, 0.13,         32,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   51,      200,    0.73,     724.34, 0.13,         22,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   51,      300,    0.62,    1039.82, 0.13,         19,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      265,    1.06,    1158.31, 0.10,         87,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      270,    1.05,    1157.37, 0.10,         86,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      300,    1.62,     585.26, 0.10,         56,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      265,    1.06,    1158.31, 0.13,         76,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      270,    1.05,    1157.37, 0.13,         75,  https://doi.org/10.1002/pssb.201800224
 SeH6  ,   12,      300,    1.62,     585.26, 0.13,         50,  https://doi.org/10.1002/pssb.201800224
 ScH2  ,  191,      300,    0.44,      543.5, 0.10,          4,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH3  ,  194,      400,    0.17,      571.8, 0.10,          1,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH4  ,  139,      120,    1.68,      734.3, 0.10,         92,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH4  ,  139,      250,    0.81,     1891.8, 0.10,         68,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH6  ,  194,      250,    0.57,     1439.8, 0.10,         29,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH6  ,  229,      350,    1.25,     1433.4, 0.10,        135,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH7  ,   63,      300,    1.84,     1245.2, 0.10,        169,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH9  ,  109,      300,    1.94,     1156.2, 0.10,        163,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH10 ,   63,      250,    1.17,     1366.8, 0.10,        120,  https://doi.org/10.1021/acs.jpcc.7b12124
 ScH12 ,   71,      350,    1.23,     1525.3, 0.10,        141,  https://doi.org/10.1021/acs.jpcc.7b12124
  C6H6 ,   14,      185,        ,      724.3, 0.13,       7.18,  https://doi.org/10.1088/1361-648X/aac3ff
  C6H6 ,   14,      190,        ,      571.7, 0.13,      13.67,  https://doi.org/10.1088/1361-648X/aac3ff 
  C6H6 ,   14,      195,        ,      365.6, 0.13,      15.75,  https://doi.org/10.1088/1361-648X/aac3ff
  C6H6 ,   14,      185,        ,      724.3, 0.10,      11.19,  https://doi.org/10.1088/1361-648X/aac3ff
  C6H6 ,   14,      190,        ,      571.7, 0.10,      18.13,  https://doi.org/10.1088/1361-648X/aac3ff
  C6H6 ,   14,      195,        ,      365.6, 0.10,      19.16,  https://doi.org/10.1088/1361-648X/aac3ff
 ScH3  ,  225,      135,    0.23,        918, 0.10,          0,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH3  ,  225,      135,    0.23,        918, 0.13,          0,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH4  ,  139,      195,    0.89,       1340, 0.10,         81,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH4  ,  139,      195,    0.89,       1340, 0.13,         67,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH6  ,  194,      145,    0.95,       1110, 0.10,         75,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH6  ,  194,      145,    0.95,       1110, 0.13,         63,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH6  ,  229,      285,    1.33,       1300, 0.10,        147,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH6  ,  229,      285,    1.33,       1300, 0.13,        130,  https://doi.org/10.1103/PhysRevB.96.144108
 ScH6  ,  194,      130,        ,           , 0.10,      122.6,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  194,      200,        ,           , 0.10,      103.6,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  194,      300,        ,           , 0.10,      65.59,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH4  ,  139,      200,        ,           , 0.10,      104.6,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH4  ,  139,      250,        ,           , 0.10,      90.81,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH4  ,  139,      300,        ,           , 0.10,      90.81,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH8  ,   71,      300,        ,           , 0.10,      117.1,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH8  ,   71,      350,        ,           , 0.10,      119.8,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH8  ,   71,      400,        ,           , 0.10,      150.7,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  229,      300,        ,           , 0.10,      123.8,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  229,      350,        ,           , 0.10,      120.9,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  229,      400,        ,           , 0.10,      120.9,  https://doi.org/10.1103/PhysRevB.96.094513
 ScH6  ,  229,      300,        ,           , 0.10,      100.5,  https://doi.org/10.1103/PhysRevLett.119.107001
 ScH6  ,  229,      300,        ,           , 0.13,      87.94,  https://doi.org/10.1103/PhysRevLett.119.107001
 ScH9  ,  194,      400,        ,           , 0.10,      181.8,  https://doi.org/10.1103/PhysRevLett.119.107001
 ScH9  ,  194,      400,        ,           , 0.13,      167.9,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH6  ,  229,      120,        ,           , 0.10,      264.5,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH6  ,  229,      120,        ,           , 0.13,      250.6,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH9  ,  194,      150,        ,           , 0.10,      267.2,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH9  ,  194,      150,        ,           , 0.13,      253.2,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH10 ,  225,      400,        ,           , 0.10,      310.2,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH10 ,  225,      400,        ,           , 0.13,      287.2,  https://doi.org/10.1103/PhysRevLett.119.107001
 LaH6  ,  167,      100,        ,           , 0.10,      170.8,  https://doi.org/10.1103/PhysRevLett.119.107001
 LaH6  ,  167,      100,        ,           , 0.13,      154.8,  https://doi.org/10.1103/PhysRevLett.119.107001
 LaH9  ,    9,       50,        ,           , 0.10,      27.99,  https://doi.org/10.1103/PhysRevLett.119.107001
 LaH9  ,    9,       50,        ,           , 0.13,      21.01,  https://doi.org/10.1103/PhysRevLett.119.107001
 CeH9  ,  194,      100,        ,           , 0.10,      53.61,  https://doi.org/10.1103/PhysRevLett.119.107001
 CeH9  ,  194,      100,        ,           , 0.13,      47.33,  https://doi.org/10.1103/PhysRevLett.119.107001
 CeH10 ,  225,      200,        ,           , 0.10,      59.75,  https://doi.org/10.1103/PhysRevLett.119.107001
 CeH10 ,  225,      200,        ,           , 0.13,      49.28,  https://doi.org/10.1103/PhysRevLett.119.107001
  YH3  ,   11,      120,   0.676,    601.310, 0.10,         19,  https://doi.org/10.1088/1361-648X/aa787d
  YH3  ,  194,      120,   0.417,   1162.113, 0.10,          6,  https://doi.org/10.1088/1361-648X/aa787d
  YH3  ,   11,      200,   0.534,    569.413, 0.10,          9,  https://doi.org/10.1088/1361-648X/aa787d
  YH3  ,  194,      200,   0.232,    658.749, 0.10,          0,  https://doi.org/10.1088/1361-648X/aa787d
  YH3  ,  139,      200,   0.270,    579.837, 0.10,          0,  https://doi.org/10.1088/1361-648X/aa787d
  YH4  ,  139,      120,   0.980,   1388.606, 0.10,         94,  https://doi.org/10.1088/1361-648X/aa787d
  YH4  ,  139,      200,   0.764,   1289.016, 0.10,         55,  https://doi.org/10.1088/1361-648X/aa787d
 LaH4  ,  139,      300,    0.43,       1624, 0.10,         10,  https://doi.org/10.1073/pnas.1704505114
 LaH4  ,  139,      300,    0.43,       1624, 0.13,          5,  https://doi.org/10.1073/pnas.1704505114
 LaH8  ,   12,      300,    1.12,       1591, 0.10,        131,  https://doi.org/10.1073/pnas.1704505114
 LaH8  ,   12,      300,    1.12,       1591, 0.13,        114,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      210,    3.41,        848, 0.10,        238,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      210,    3.41,        848, 0.13,        219,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      250,    2.29,       1253, 0.10,        232,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      250,    2.29,       1253, 0.13,        212,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      300,    1.78,       1488, 0.10,        215,  https://doi.org/10.1073/pnas.1704505114
 LaH10 ,  225,      300,    1.78,       1488, 0.13,        196,  https://doi.org/10.1073/pnas.1704505114
  YH10 ,  229,      250,    2.58,       1282, 0.10,        265,  https://doi.org/10.1073/pnas.1704505114
  YH10 ,  229,      250,    2.58,       1282, 0.13,        244,  https://doi.org/10.1073/pnas.1704505114
  YH10 ,  229,      300,    2.06,       1511, 0.10,        255,  https://doi.org/10.1073/pnas.1704505114
  YH10 ,  229,      300,    2.06,       1511, 0.13,        233,  https://doi.org/10.1073/pnas.1704505114

